Country Name,Country Code,Region,Year,Fertility Rate,Life Expectancy
Aruba,ABW,The Americas,1960,4.82,65.56936585
Afghanistan,AFG,Asia,1960,7.45,32.3285122
Angola,AGO,Africa,1960,7.379,32.98482927
Albania,ALB,Europe,1960,6.186,62.25436585
United Arab Emirates,ARE,Middle East,1960,6.928,52.24321951
Argentina,ARG,The Americas,1960,3.109,65.21553659
Armenia,ARM,Asia,1960,4.55,65.86346341
Antigua and Barbuda,ATG,The Americas,1960,4.425,61.78273171
Australia,AUS,Oceania,1960,3.453,70.81707317
Austria,AUT,Europe,1960,2.69,68.58560976
Azerbaijan,AZE,Asia,1960,5.571,60.8362439
Burundi,BDI,Africa,1960,6.953,41.23604878
Belgium,BEL,Europe,1960,2.54,69.70195122
Benin,BEN,Africa,1960,6.282,37.27826829
Burkina Faso,BFA,Africa,1960,6.291,34.47790244
Bangladesh,BGD,Asia,1960,6.725,45.82931707
Bulgaria,BGR,Europe,1960,2.31,69.24756098
Bahrain,BHR,Middle East,1960,7.09,52.08936585
"Bahamas, The",BHS,The Americas,1960,4.495,62.72904878
Bosnia and Herzegovina,BIH,Europe,1960,3.77,60.27621951
Belarus,BLR,Europe,1960,2.67,67.70809756
Belize,BLZ,The Americas,1960,6.5,59.96136585
Bolivia,BOL,The Americas,1960,6.7,42.11831707
Brazil,BRA,The Americas,1960,6.21,54.20546341
Barbados,BRB,The Americas,1960,4.333,60.73804878
Brunei Darussalam,BRN,Asia,1960,6.487,62.50036585
Bhutan,BTN,Asia,1960,6.67,32.35936585
Botswana,BWA,Africa,1960,6.615,50.54773171
Central African Republic,CAF,Africa,1960,5.84,36.48263415
Canada,CAN,The Americas,1960,3.811,71.13317073
Switzerland,CHE,Europe,1960,2.44,71.31341463
Chile,CHL,The Americas,1960,5.113,57.45829268
China,CHN,Asia,1960,5.758,43.46580488
Cote d'Ivoire,CIV,Africa,1960,7.351,36.87241463
Cameroon,CMR,Africa,1960,5.647,41.5237561
"Congo, Rep.",COG,Africa,1960,5.88,48.58163415
Colombia,COL,The Americas,1960,6.807,56.7167561
Comoros,COM,Africa,1960,6.792,41.44243902
Cabo Verde,CPV,Africa,1960,6.885,48.85641463
Costa Rica,CRI,The Americas,1960,6.451,60.57619512
Cuba,CUB,The Americas,1960,4.182,63.90465854
Cyprus,CYP,Europe,1960,3.5,69.59392683
Czech Republic,CZE,Europe,1960,2.09,70.34878049
Germany,DEU,Europe,1960,2.37,69.31295122
Djibouti,DJI,Africa,1960,6.461,44.02126829
Denmark,DNK,Europe,1960,2.57,72.17658537
Dominican Republic,DOM,The Americas,1960,7.555,51.84526829
Algeria,DZA,Africa,1960,7.524,46.13512195
Ecuador,ECU,The Americas,1960,6.721,53.215
"Egypt, Arab Rep.",EGY,Africa,1960,6.63,48.01370732
Eritrea,ERI,Africa,1960,6.899,37.36290244
Spain,ESP,Europe,1960,2.86,69.10926829
Estonia,EST,Europe,1960,1.98,67.90597561
Ethiopia,ETH,Africa,1960,6.88,38.40570732
Finland,FIN,Europe,1960,2.72,68.8197561
Fiji,FJI,Oceania,1960,6.461,55.9584878
France,FRA,Europe,1960,2.85,69.86829268
"Micronesia, Fed. Sts.",FSM,Oceania,1960,6.934,57.58658537
Gabon,GAB,Africa,1960,4.384,39.57012195
United Kingdom,GBR,Europe,1960,2.69,71.12682927
